instrument,pip_size,stop_loss_pips,take_profit_pips,proximity_alert_pips,base_volume,profit_volume,DAILY_BIAS,levels_csv_file,trade_log_file
BARC.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
BDEV.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
BATS.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
BKG.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
BP.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
BLND.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
BTA.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
BNZL.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
BRBY.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
CCL.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
CNA.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
CCH.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
CPG.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
CRH.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
DCC.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
DGE.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
DLG.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
EZJ.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
EXPN.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
FRES.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
GLEN.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
GSK.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
HLMA.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
HSBA.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
IAG.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
IMB.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
INF.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
ITRK.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
ITV.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
JMAT.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
JE.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
KGF.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
LAND.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
LGEN.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
LLOY.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
LSE.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
MKS.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
MRO.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
MNDI.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
NG.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
NXT.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
OCDO.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
FLTR.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
PSON.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
PSN.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
PRU.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
RB.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
REL.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
RTO.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
RIO.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
RR.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
SGE.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
SBRY.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
SDR.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
SMT.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
SGRO.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
SVT.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
RDSB.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
SN.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
SMIN.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
SKG.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
STAN.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
STJ.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
TSCO.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
ULVR.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
UU.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
VOD.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
WTB.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
WPP.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
AUTO.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
BHP.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
CPI.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
HMSO.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
HAS.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
IMI.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
JUP.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
EMG.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
PFC.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
SRP.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
TPK.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
TLW.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
ATST.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
OMU.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
ICGIN.LSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
ABBV.NYSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
ABT.NYSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
ACB.NYSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
AMT.NYSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
AXP.NYSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
BA.NYSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
BABA.NYSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
BAC.NYSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
BLK.NYSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
BMY.NYSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
BRK-B.NYSE,1,1,1,1,1,1,BUY,D:\TRADING\ALGO_STUFF_2025\TRADING_BOTs\LEVELS\lse_levels_file.csv,D:\TRADING\ALGO_STUFF_2025\STOCK_TRADING_BOTs\Signals_LSE\Acc_lse_trades_log.csv
